h,distance,angle,situation_DirectFreekick,situation_FromCorner,situation_OpenPlay,situation_SetPiece,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot
0.0,0.09861544324168041,1.0906210471327236,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.26322994127500726,0.3837043186011682,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.3104979677487038,0.24941293142504983,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.21058255075184523,0.16345664685395556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.18480528330331203,0.5236041209683153,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.11799150416937998,0.8653451983554271,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.126905485051796,0.6725918693835355,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.2817161917521132,0.3182461304718568,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.3199765535348065,0.24634775263998232,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.08759568847079656,1.1826102667260006,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.21239817998792643,0.5497928165414205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.08628443110874032,1.1571886803368812,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.249537565808994,0.25988511478017406,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.09347729355191561,1.0945384432690375,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0751664671743715,1.1760054581418136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2539468548061166,0.162140423658385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.030016661531267204,2.2141196395321643,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.28459795475303334,0.3697859682716844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.37160191321234765,0.1955531399126712,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.19103926809199528,0.5810112603574948,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2248599492412252,0.12958780429527428,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2998683191328826,0.38201943863445065,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.28757084666531635,0.3235056071645793,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.2330772067008021,0.4835919474275821,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.2791451392896945,0.4232465724657612,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
